filename,staticO0,dynamicO0,staticO1,dynamicO1,staticOz,dynamicOz,staticO2,dynamicO2,output_O0,output_O1,output_O2,output_Oz
extr_obs-studiolibobsobs-scene.c_mix_audio.c,35,3848,17,1795,14,2048,97,405,,,,
extr_labenginecodebspcl_cmd.c_Q_strncasecmp.c,34,6148,17,2305,21,2309,17,2305,0,0,0,0
extr_linuxsoundsocshrcaradg.c_rsnd_adg_calculate_rbgx.c,29,88,23,59,27,71,15,15,-1,-1,-1,-1
extr_darwin-xnutoolstestsaffinitypool.c_reader_writer_fn.c,19,3070,13,1029,12,1284,55,289,,,,
extr_darknetsrcblas.c_dot_cpu.c,32,4861,20,1798,20,2054,42,1428,-215328357183651840.000000,-215328357183651840.000000,-215328357183651840.000000,-215328357183651840.000000
extr_FFmpeglibavcodectwinvq.h_twinvq_memset_float.c,20,3328,13,1029,11,1283,70,162,,,,
extr_reactosdllwin32rsaenhimplglue.c_reverse_bytes.c,41,4335,22,1156,21,1284,41,971,,,,
extr_hashcatdepsLZMA-SDKCUtil7z7zMain.c_UIntToStr.c,58,2883,53,91,35,1573,59,99,,,,
extr_emscriptentestsnbody-javaxmlvm-number.c_addHighPrecision.c,54,7928,32,3080,29,3077,55,2197,0,0,0,0
extr_linuxdriversvideofbdevcorefbcon_ud.c_ud_update_attr.c,55,375088,50,319520,44,333406,152,125154,,,,
extr_raspberry-pi-osexerciseslesson051avenitosrcprintf.c_ui2a.c,62,107,54,74,52,83,52,72,,,,
extr_reactosmodulesrostestswinetestsuser32win.c_window_to_index.c,27,4348,19,2051,17,2305,19,2051,-1,-1,-1,-1
extr_darknetsrcgemm.c_gemm_nn.c,62,349512453,59,116787735,53,133369109,185,28942813,,,,
extr_raspberry-pi-ossrclesson03srcprintf.c_ui2a.c,62,107,54,74,52,83,52,72,,,,
extr_raspberry-pi-osexerciseslesson023avenitosrcprintf.c_ui2a.c,62,107,54,74,52,83,52,72,,,,
extr_darwin-xnutoolstestsaffinitypool.c_writer_fn.c,18,2815,13,1029,12,1284,83,279,,,,
extr_emscriptentestssqlitespeedtest1.c_roundup_allones.c,15,66,14,38,10,42,14,38,255,255,255,255
extr_linuxdriversstagingrtl8712ieee80211.c_r8712_get_ie.c,40,61,22,32,21,31,22,32,,,,
extr_FFmpeglibavcodecac3enc.c_mul_poly.c,29,171,23,121,20,120,23,121,21845,21845,21845,21845
extr_FFmpeglibavcodecsnow_dwt.c_ff_snow_vertical_compose97i.c,86,18885,50,8940,49,9195,50,8940,,,,
extr_FFmpeglibavfilteraf_afftdn.c_factor.c,78,133074041,70,49812987,60,55372152,117,36800042,,,,
extr_linuxdriversmediausbdvb-usb-v2lmedm04.c_check_sum.c,22,3584,14,1030,12,1284,77,229,29841555,29841555,29841555,29841555
extr_linuxdriversatmiphase.c_cellrate_to_float.c,41,97,32,56,28,66,35,65,20476,20476,20476,20476
extr_FFmpeglibavcodecintrax8dsp.c_spatial_compensation_7.c,69,1906,51,983,54,1067,155,575,,,,
extr_darknetsrcutils.c_sum_array.c,22,3073,14,1030,13,1285,37,391,-4244635648.000000,-4244635648.000000,-4244635648.000000,-4244635648.000000
extr_skynetlualib-srclua-crypt.c_mul_mod_p.c,40,266,33,194,28,177,32,179,65025,65025,65025,65025
extr_masscansrccrypto-blackrock2.c_next_power_of_two.c,21,80,12,47,12,47,12,47,256,256,256,256
extr_linuxdriverspcmciasoc_common.c_calc_speed.c,32,3611,19,1543,17,1797,73,259,,,,
extr_kphp-kdbdhcpdhcp-data.c_dhcp_macaddr_load.c,21,86,14,49,13,48,20,20,246174892636073,246174892636073,246174892636073,246174892636073
extr_darwin-xnubsdnetinet6ip6_id.c_pmod.c,33,175,28,154,23,137,28,154,0,0,0,0
extr_linuxdriversvideofbdevrivariva_hw.c_CalcVClock.c,54,113,49,77,48,82,49,77,0,0,0,0
extr_darknetsrcutils.c_scale_array.c,20,3071,15,1539,14,1794,56,302,,,,
extr_linuxdriversiiolightsi1145.c_si1145_compress.c,57,110,39,69,38,68,39,69,128,128,128,128
extr_raspberry-pi-osexerciseslesson041bl4ckout31srcprintf.c_ui2a.c,62,107,54,74,52,83,52,72,,,,
extr_lua-nginx-modulesrcngx_http_lua_string.c_ngx_http_lua_ngx_escape_sql_str.c,80,10557,43,2601,49,4307,43,2601,77730828,77730828,77730828,77730828
extr_obs-studiolibobsobs-scene.c_mix_audio_with_buf.c,46,5129,20,2306,17,2306,131,563,,,,
extr_darwin-xnutoolstestsaffinitysets.c_writer_fn.c,18,2815,13,1029,12,1284,83,279,,,,
extr_FFmpeglibavcodecdvdsubenc.c_color_distance.c,44,145,31,79,34,87,43,43,0,0,0,0
extr_raspberry-pi-osexerciseslesson042rssrcprintf.c_ui2a.c,62,107,54,74,52,83,52,72,,,,
extr_stbtools..stb.h_stb_matchlen.c,26,3839,15,1539,13,1793,15,1539,255,255,255,255
extr_hashcatsrcmpsp.c_mask_ctx_parse_maskfile_find_mask.c,33,5624,21,2815,21,3325,44,2816,,,,
extr_linuxdriversstagingrtl8723bscorertw_ieee80211.c_rtw_get_rateset_len.c,18,152,12,72,12,86,31,31,13,13,13,13
extr_darknetsrcconvolutional_layer.c_binarize_cpu.c,27,4856,19,2305,18,2560,139,647,,,,
extr_tenginesrccorengx_string.c_ngx_escape_html.c,40,6165,27,2576,28,3840,27,2576,77730828,77730828,77730828,77730828
extr_disquedepshiredissds.c_sdsull2str.c,56,95,39,69,28,50,29,55,3,3,3,3
extr_linuxarchpowerpcplatformspowermacfeature.c_macio_find.c,24,26,16,18,18,20,15,15,,,,
extr_mimikatzmodulessqlite3_omit.c_btreeHeapPull.c,72,95,38,47,35,47,37,45,1,1,1,1
extr_FFmpeglibavfilteravf_showvolume.c_find_rms.c,29,5112,19,2559,18,2814,37,1927,,,,
extr_linuxnetdccpfeat.c_dccp_feat_prefer.c,28,3333,19,1289,17,1543,30,912,0,0,0,0
extr_gitpager.c_decimal_width.c,18,31,19,28,14,22,17,24,3,3,3,3
extr_labq3map2q3map2visflow.c_CountBits.c,33,5808,20,2814,20,3070,41,2183,147,147,147,147
extr_linuxdriversstagingmostdim2hal.c_dbr_get_mask_size.c,22,94,15,50,15,57,30,30,0,0,0,0
extr_reactosmodulesrosappsapplicationsnettsclientrdesktopuiportssvgawin.c_copy_memb.c,124,2866,44,710,40,746,47,713,,,,
extr_FFmpeglibavcodectwinvq.c_rearrange_lsp.c,58,8018,29,3314,26,3440,31,3442,,,,
extr_linuxnetsctpauth.c___sctp_auth_find_hmacid.c,23,3328,15,1285,15,1541,15,1285,0,0,0,0
extr_php-srcZendzend_bitset.h_zend_bitset_intersection.c,22,3581,13,1283,11,1537,85,361,,,,
extr_php-srcextphartar.c_phar_tar_checksum.c,23,3074,13,1029,11,1283,70,204,r,r,r,r
extr_radare2shlrgrubfsjfs.c_addstr.c,28,5114,17,2049,15,2303,33,1671,,,,
extr_emscriptentestsvorbis_test.c_set_data_in.c,19,2816,13,1029,11,1283,65,157,,,,
extr_raspberry-pi-osexerciseslesson061xdfm1srcprintf.c_ui2a.c,62,107,54,74,52,83,52,72,,,,
extr_linuxlibbtree.c_longset.c,20,2817,13,1029,11,1283,63,215,,,,
extr_linuxdriversgpudrmbridgesil-sii8620.c_sii8620_update_array.c,29,5622,17,2049,14,2302,52,610,,,,
extr_labenginecoderenderergl2tr_image.c_R_BlendOverTexture.c,58,7935,33,4605,34,4862,33,4605,,,,
extr_linuxdriversmediai2cad9389b.c_edid_block_verify_crc.c,22,1421,14,522,14,651,34,167,0,0,0,0
extr_FFmpeglibavcodecpafvideo.c_copy_color_mask.c,44,151,23,68,21,68,32,32,,,,
extr_FFmpeglibswscaleswscale.c_chrRangeFromJpeg16_c.c,35,5880,20,2814,20,3070,136,1426,,,,
extr_linuxtoolsperfarchx86utilintel-pt.c_intel_pt_pick_bit.c,32,195,22,113,18,104,22,113,7,7,7,7
extr_reactosdllopenglglu32srclibutilmipmap.c_nearestPower.c,26,90,18,50,15,54,18,50,256,256,256,256
extr_linuxdriversperfarm-cci.c_is_duplicate_irq.c,23,3328,15,1285,15,1541,15,1285,0,0,0,0
extr_FFmpeglibavcodeccavs.c_intra_pred_dc_128.c,22,108,11,39,12,49,19,19,,,,
extr_disquesrcsds.c_sdsll2str.c,64,103,42,68,34,54,42,68,3,3,3,3
extr_emscriptentestsopenjpegcodecconvert.c_int_floorlog2.c,16,72,15,45,10,42,15,45,7,7,7,7
extr_obs-studiotesttest-inputsync-async-source.c_fill_texture.c,26,4609,17,1746,16,2167,22,139,,,,
extr_darknetsrcblas.c_weighted_sum_cpu.c,44,8683,24,3580,24,4090,56,3584,,,,
extr_kphp-kdbmc-proxymc-proxy-statsx-extension.c_unserialize_list2_raw_new.c,55,19178,23,6715,24,6718,32,10070,,,,
extr_kphp-kdbstatsxstatsx-data.c_list_add.c,26,3585,18,1288,17,1543,90,366,,,,
extr_redissrcdict.c_rev.c,32,157,24,99,23,105,24,24,18374686479671623680,18374686479671623680,18374686479671623680,18374686479671623680
extr_reactosdllwin32usp10shape.c_ContextualShape_Control.c,42,7157,26,4090,24,4090,54,3708,,,,
extr_linuxdriversmediausbcx231xxcx231xx-video.c_cx231xx_find_next_SAV_EAV.c,30,3549,16,1271,16,1524,16,1271,0,0,0,0
extr_torch7libTHvectorNEON.c_THFloatVector_fill_NEON.c,47,1693,27,469,20,344,28,284,,,,
extr_linuxdriversipackipack.c_ipack_crc_byte.c,28,142,18,67,17,75,47,47,15786480,15786480,15786480,15786480
extr_reactosdllwin32wbemproxbuiltin.c_regs_to_str.c,28,3841,16,1286,13,1539,95,373,,,,
extr_labq3map2libsmathlibmathlib.c_VectorIsOnAxialPlane.c,22,50,16,28,14,28,18,18,0,0,0,0
extr_linuxdriversstagingrtl8712ieee80211.c_r8712_get_rateset_len.c,18,144,13,91,12,90,13,91,13,13,13,13
extr_FFmpeglibavcodecsnow_dwt.c_horizontal_compose53i.c,152,9561,80,3212,81,3594,94,3026,,,,
extr_obs-studiodepslibcaptionsrcmpeg.c__find_emulated.c,23,1118,15,519,16,606,15,519,255,255,255,255
extr_linuxtoolstestingselftestsvmuserfaultfd.c_my_bcmp.c,26,4093,15,1539,14,1794,15,1539,0,0,0,0
extr_darknetsrcstb_image_write.h_stbiw__jpg_calcBits.c,41,106,27,57,22,54,27,57,,,,
extr_FFmpeglibavfiltervf_midequalizer.c_compute_contrast_change.c,49,12193,22,3553,20,4358,52,3429,,,,
extr_FFmpeglibavfiltervsrc_mptestsrc.c_draw_dc.c,34,978448,26,262662,22,327178,88,37780,,,,
extr_linuxlibts_bm.c_subpattern.c,56,5897,34,2320,36,2322,34,2320,0,0,0,0
extr_libsodiumsrclibsodiumsodiumutils.c_sodium_increment.c,28,5111,16,2048,14,2048,48,1242,,,,
extr_linuxkernelcgroupcgroup-v1.c_pidlist_uniq.c,42,6623,22,2552,23,2808,22,2552,255,255,255,255
extr_FFmpeglibavcodecutvideodsp.c_restore_rgb_planes_c.c,70,2023186,45,588055,41,652825,154,327722,,,,
extr_linuxsoundfirewirecmp.c_get_overhead_id.c,23,200,17,98,13,108,51,51,15,15,15,15
extr_FFmpeglibavcodecsbrdsp_fixed.c_sbr_neg_odd_64_c.c,19,424,10,134,10,167,13,62,,,,
extr_reactosbootfreeldrfreeldrlibinifileparse.c_IniIsSetting.c,23,3328,15,1285,12,1284,15,1285,0,0,0,0
extr_FFmpeglibavcodecintrax8dsp.c_spatial_compensation_3.c,39,1282,27,594,26,674,49,322,,,,
extr_raspberry-pi-osexerciseslesson052xdfm1srcprintf.c_ui2a.c,62,107,54,74,52,83,52,72,,,,
extr_darwin-xnuosfmkkernstack.c_log2.c,16,81,14,49,10,47,14,49,8,8,8,8
extr_linuxdriversacpiacpicatbprint.c_acpi_tb_checksum.c,24,2821,15,1031,12,1284,79,367,29841555,29841555,29841555,29841555
extr_nginxsrccorengx_string.c_ngx_rstrncasecmp.c,51,6491,24,4088,23,4087,24,4088,a,a,a,a
extr_linuxdriversfirmwareefilibstubgop.c_find_bits.c,39,120,22,57,17,54,19,54,,,,
extr_linuxdriversmtdteststorturetest.c_countdiffs.c,38,4615,23,1801,23,1803,18,1542,-1,-1,-1,-1
extr_FFmpeglibavcodecdiracdec.c_propagate_block_data.c,50,784877,37,327424,29,392191,111,184328,,,,
extr_Arduinotestshostcommonmd5.c_Encode.c,60,3276,28,910,24,1097,28,910,,,,
extr_linuxdriversnetethernetbroadcombnxtbnxt_ethtool.c_bnxt_parse_pkglog.c,80,6161,34,1071,35,1335,36,1083,,,,
extr_linuxdriversnetwirelessathath9kar9003_eeprom.c_ar9300_comp_cksum.c,25,4092,15,1285,14,1540,34,540,22675,22675,22675,22675
extr_tenginesrccorengx_string.c_ngx_rstrncasecmp.c,51,6491,24,4088,23,4087,24,4088,a,a,a,a
extr_raspberry-pi-osexerciseslesson033H-4ND-Hsrcprintf.c_ui2a.c,62,107,54,74,52,83,52,72,,,,
extr_linuxdriversnetethernettidavinci_emac.c_hash_get.c,52,97,27,46,27,49,37,37,23,23,23,23
extr_labq3map2libsmathlibm4x4.c_m4_submat.c,53,504,48,303,47,312,160,160,,,,
extr_FFmpeglibavcodecvorbis.c_ff_vorbis_nth_root.c,31,9198,21,2326,16,3078,126,881,2,2,2,2
extr_reactossdklib3rdpartystlportsrcc_locale_win32c_locale_win32.c_my_ltoa.c,51,129,37,83,24,56,40,86,,,,
extr_FFmpeglibavcodecvc1dsp.c_vc1_inv_trans_8x8_c.c,317,2421,206,1501,187,1374,206,1501,,,,
extr_stbtests..stb_c_lexer.h_stb__clex_pow.c,25,139,19,89,14,72,19,89,inf,inf,inf,inf
extr_linuxdriversstagingrtl8723bscorertw_ieee80211.c_rtw_get_ie.c,40,61,22,32,21,31,22,32,,,,
extr_FFmpeglibavcodecmipsvc1dsp_mmi.c_ff_vc1_h_s_overlap_mmi.c,97,638,67,326,68,336,67,326,,,,
extr_nodemcu-firmwareappuzlibuzlib_inflate.c_build_bits_base.c,45,3083,36,268,34,1569,46,208,,,,
extr_php-srcextstandardmetaphone.c_Lookahead.c,33,4873,14,1799,13,1798,14,1799,X,X,X,X
extr_linuxdriversgpudrmsun4isun4i_hdmi_tmds_clk.c_sun4i_tmds_calc_divider.c,74,1076,62,717,63,753,64,538,1,1,1,1
extr_nuklearexamplestb_image.h_stbi__jpeg_dequantize.c,21,905,12,390,12,455,42,42,,,,
extr_redisdepshiredisread.c_seekNewline.c,39,4601,27,1292,27,1800,28,1546,,,,
extr_labenginecodeqcommonq_shared.c_SkipWhitespace.c,22,66,16,40,14,44,16,40,,,,
extr_linuxdriversstagingrtl8712rtl871x_security.c_construct_mic_iv.c,72,216,40,90,43,112,49,49,,,,
extr_reactosdllwin32lpklpk.c_PSM_FindLastPrefix.c,31,5349,20,1791,16,1789,19,1537,-1,-1,-1,-1
extr_reactosdll3rdpartylibtifftif_swab.c_TIFFSwabArrayOfTriples.c,28,5622,17,2049,14,2302,46,1302,,,,
extr_gitxdiffxutils.c_xdl_bogosqrt.c,16,45,15,30,10,27,15,30,16,16,16,16
extr_reactosbaseapplicationsmstscorders.c_process_compressed_8x8_brush_data.c,69,344294,69,82945,78,99266,521,17206,,,,
extr_FFmpeglibavcodecsbrdsp_template.c_sbr_sum64x5_c.c,40,2184,15,582,15,647,19,422,,,,
extr_FFmpeglibavresampledither.c_dither_int_to_float_triangular_c.c,37,6136,25,3327,23,3073,114,1370,,,,
extr_anypixelfirmwarecontrollersrctextfuncs.c_TEXT_deleteWhiteSpace.c,45,9192,23,2879,21,2879,48,2754,0,0,0,0
extr_linuxdriversmediausbdvb-usbvp702x-fe.c_vp702x_chksum.c,27,3588,18,1034,14,1286,83,235,-30551735,-30551735,-30551735,-30551735
extr_reactosbaseapplicationsmstscssl_calls.c_mpSetEqual.c,21,3326,14,1284,12,1538,94,232,,,,
extr_nginxsrcstreamngx_stream_log_module.c_ngx_stream_log_copy_short.c,31,8163,19,3843,14,3362,38,1822,,,,
extr_redisdepsluasrclua_struct.c_correctbytes.c,37,3193,21,1155,18,1154,21,1155,,,,
extr_linuxfscifsasn1.c_compare_oid.c,29,3842,19,1797,17,1797,19,1543,1,1,1,1
extr_linuxdriversnetwirelessbroadcombrcm80211brcmsmacphyphy_qmath.c_qm_norm32.c,25,317,23,199,16,220,23,199,23,23,23,23
extr_tenginesrccorengx_string.c_ngx_filename_cmp.c,33,6131,22,3324,20,3324,22,3324,a,a,a,a
extr_linuxdriversnetwirelessrealtekrtlwifirtl8723bephy.c__phy_convert_txpower_dbm_to_relative_value.c,37,105,27,63,27,68,29,29,,,,
extr_reactosbaseapplicationsmstscssl_calls.c_mpAdd.c,46,8939,23,3579,22,3834,23,3579,0,0,0,0
extr_linuxdriversmediausbgspcanw80x.c_swap_bits.c,27,162,13,55,13,64,18,18,255,255,255,255
extr_emscriptentestslzmalzmaLzFind.c_MatchFinder_Normalize3.c,33,5580,17,1875,14,2088,32,1477,,,,
extr_linuxnetbluetoothhci_event.c_eir_get_length.c,28,31,18,20,16,18,17,19,255,255,255,255
extr_raspberry-pi-osexerciseslesson021avenitosrcprintf.c_ui2a.c,62,107,54,74,52,83,52,72,,,,
extr_h2ot00unitlibcommon........libcommontime.c_emit_digits.c,31,4857,19,3321,15,1539,53,3959,,,,
extr_php-srcZendzend_bitset.h_zend_bitset_union.c,22,3581,13,1283,11,1537,85,361,,,,
extr_FFmpeglibavcodectakdsp.c_decorrelate_sm.c,37,7406,20,2814,19,3069,76,684,,,,
extr_linuxnetwirelesslib80211_crypt_ccmp.c_xor_block.c,22,3581,13,1283,11,1537,85,361,,,,
extr_linuxarchx86kernelcpuintel_rdt.c_setup_default_ctrlval.c,29,10071,15,3361,13,3839,15,3361,,,,
extr_FFmpeglibavcodecsnow_dwt.c_vertical_compose97iH0.c,31,5622,19,2559,19,2815,95,1169,,,,
extr_linuxdriversinputtouchscreenpenmount.c_pm_checkpacket.c,28,74,18,38,18,44,21,21,0,0,0,0
extr_linuxdriversnetwirelessrealtekrtl8192cucorertw_security.c_construct_mic_header2.c,83,302,43,68,44,153,48,48,,,,
extr_linuxdriversstagingrtl8188eucorertw_mlme.c_rtw_restruct_wmm_ie.c,31,53,19,28,16,28,26,34,255,255,255,255
extr_numpynumpycoresrcnpymathhalffloat.c_npy_halfbits_to_floatbits.c,49,64,32,37,27,34,32,37,931069952,931069952,931069952,931069952
extr_reactosdllcplpowercfgadvanced.c_FindActionIndex.c,23,3328,15,1285,12,1538,15,1285,18446744073709551615,18446744073709551615,18446744073709551615,18446744073709551615
extr_FFmpeglibavcodecscpr3.c_renew_table3.c,69,9560,50,3885,46,4777,66,4025,,,,
extr_radare2librdebugpnativedrx.c_drx_next.c,19,54,12,27,12,32,14,14,-1,-1,-1,-1
extr_linuxdriversstagingrtl8712rtl871x_mlme.c_r8712_restruct_wmm_ie.c,30,51,19,28,16,28,26,34,255,255,255,255
extr_linuxdriversinfinibandhwi40iwi40iw_ctrl.c_i40iw_get_encoded_wqe_size.c,23,64,16,32,13,35,16,32,6,6,6,6
extr_mpvaudiooutao_sdl.c_ceil_power_of_two.c,14,66,10,42,9,41,10,42,256,256,256,256
extr_emscriptentestsfreetypesrcsfntsfobjs.c_sfnt_find_encoding.c,26,149,13,63,14,76,9,9,0,0,0,0
extr_raspberry-pi-osexerciseslesson031rssrcprintf.c_ui2a.c,62,107,54,74,52,83,52,72,,,,
extr_darwin-xnubsdnetinet6ip6_fw.c_port_match6.c,39,3573,23,1789,21,1787,23,1789,0,0,0,0
extr_linuxnetipv4tcp.c_retrans_to_secs.c,31,4337,18,1536,15,1788,50,1421,65025,65025,65025,65025
extr_linuxarchs390bootals.c_u16_to_decimal.c,39,96,28,68,25,63,28,68,,,,
extr_hashcatdepsLZMA-SDKCLzFind.c_MatchFinder_Normalize3.c,33,5580,17,1875,14,2088,32,1477,,,,
extr_linuxdriverseisaeisa-bus.c_is_forced_dev.c,30,4859,19,1289,18,2306,19,1289,0,0,0,0
extr_linuxlibmpigeneric_mpih-add1.c_mpihelp_add_n.c,75,9727,27,2821,18,2812,47,2441,0,0,0,0
extr_os-tutorial21-shelllibcmem.c_memory_set.c,21,3071,12,1028,10,1282,67,159,,,,
extr_darwin-xnuosfmkdevicesubrs.c_itoa.c,54,128,35,79,28,62,41,85,,,,
extr_linuxdriversnetwirelessrealtekrtl8192cucorertw_security.c_bitwise_xor.c,23,250,12,102,12,119,52,52,,,,
extr_labenginecodeqcommoncm_patch.c_CM_SignbitsForNormal.c,19,43,16,34,18,42,14,14,0,0,0,0
extr_tenginesrcstreamngx_stream_log_module.c_ngx_stream_log_copy_short.c,31,8163,19,3843,14,3362,38,1822,,,,
extr_emscriptensystemliblibcmuslsrcinternalprocfdname.c___procfdname.c,57,286,39,81,32,70,39,81,,,,
extr_opensslcryptomodesctr128.c_ctr128_inc.c,25,295,14,119,13,118,65,65,,,,
extr_FFmpeglibavcodecutvideodsp.c_restore_rgb_planes10_c.c,72,2153236,51,783133,50,847906,195,211197,,,,
extr_masscansrcrand-primegen.c_doit6.c,58,680,35,262,30,333,35,262,,,,
extr_php-srcsapifpmfpmfpm_str.h_str_purify_filename.c,53,8125,24,3060,22,3313,24,3060,,,,
extr_BGAQRCode-Androidzbarsrcmainjnilibiconv-1.15libc99.h_c99_wctomb.c,62,134,37,79,37,87,37,79,6,6,6,6
extr_darknetsrcutils.c_int_index.c,23,3328,16,1286,14,1540,16,1286,-1,-1,-1,-1
extr_kphp-kdbcachecache-binlog.c_a2hex.c,43,7666,22,2816,22,3072,22,2816,,,,
extr_obs-studiotesttest-inputsync-audio-buffering.c_fill_texture.c,26,4609,17,1746,16,2167,22,139,,,,
extr_nodemcu-firmwareappmodulesam2320.c_crc16.c,44,36829,24,20153,22,22448,62,13270,27974,27974,27974,27974
extr_kittykittyscreen.c_init_tabstops.c,23,4090,16,1794,14,2048,104,644,,,,
extr_goaccesssrcutil.c_intlen.c,18,31,19,28,14,22,17,24,3,3,3,3
extr_linuxdriversblockparidept.c_xs.c,45,7414,29,2569,29,2825,51,1941,,,,
extr_linuxdriversvideofbdevnvidianv_hw.c_CalcVClock2Stage.c,28,108,27,75,27,83,27,75,,,,
extr_labq3map2libsmathlibm4x4.c_m4x4_transpose.c,47,239,25,78,25,97,28,28,,,,
extr_radare2librasmpasm_avr.c_packDataByMask.c,41,380,21,161,21,171,30,141,255,255,255,255
extr_php-srcexthashhash_sha.c_SHAEncode32.c,60,3276,23,716,19,777,23,716,,,,
extr_FFmpeglibavcodecsnow_dwt.c_vertical_decompose53iH0.c,28,4857,16,1794,15,2049,72,604,,,,
extr_raspberry-pi-ossrclesson04srcprintf.c_ui2a.c,62,107,54,74,52,83,52,72,,,,
extr_linuxdriversnetwirelessrealtekrtl8192cucorertw_security.c_construct_mic_iv.c,73,217,40,90,43,112,49,49,,,,
extr_linuxdriversstagingrtl8723bscorertw_security.c_xor_32.c,23,70,12,30,12,35,16,16,,,,
extr_darwin-xnubsdnfsnfs_node.c_nfs_hash.c,23,3582,15,1285,14,1540,77,777,29841555,29841555,29841555,29841555
extr_kphp-kdbbayesbayes-data.c_ok_cp1251.c,22,3314,16,1281,12,1279,16,1281,1,1,1,1
extr_raspberry-pi-osexerciseslesson043bl4ckout31srcprintf.c_ui2a.c,62,107,54,74,52,83,52,72,,,,
extr_FFmpeglibavcodecsnow_dwt.c_vertical_compose97iL0.c,36,6897,22,3324,22,3580,102,1368,,,,
extr_raspberry-pi-osexerciseslesson032avenitosrcprintf.c_ui2a.c,62,107,54,74,52,83,52,72,,,,
extr_FFmpeglibavcodecvc1dsp.c_vc1_h_s_overlap_c.c,97,638,67,326,68,336,67,326,,,,
extr_linuxdriversnetethernetinteli40ei40e_main.c_i40e_fill_rss_lut.c,23,3582,16,1794,14,2048,43,2563,,,,
extr_FFmpeglibavcodectwinvq.c_linear_perm.c,40,6901,24,2310,23,2565,24,2310,,,,
extr_FFmpeglibavcodecopus_pvq.c_celt_stereo_ms_decouple.c,37,7406,21,3069,20,3324,68,836,,,,
extr_FFmpeglibavcodecsnow_dwt.c_vertical_compose53iH0.c,27,4602,16,1794,15,2049,72,604,,,,
extr_emscriptensystemliblibcmuslsrcpasswdgetpw_a.c_itoa.c,33,69,24,56,18,38,24,56,,,,
extr_linuxdriversvideohdmi.c_hdmi_infoframe_checksum.c,22,3073,15,1031,13,1285,71,359,-29841299,-29841299,-29841299,-29841299
extr_linuxdriverspariscgsc.c_gsc_find_local_irq.c,24,3329,15,1285,14,1540,15,1285,0,0,0,0
extr_stbtools..stb.h_stb_hashlen.c,41,7418,22,2308,18,2560,22,2308,1806841983,1806841983,1806841983,1806841983
extr_linuxfsdlmlock.c_nodeid_warned.c,27,4348,19,2051,18,2306,19,2051,0,0,0,0
extr_openpilotpandaboarddriversgmlan_alt.h_append_bits.c,27,4348,19,1289,17,1543,105,203,510,510,510,510
extr_raspberry-pi-osexerciseslesson042bl4ckout31srcprintf.c_ui2a.c,62,107,54,74,52,83,52,72,,,,
extr_linuxdriversmediai2cadv7511.c_edid_block_verify_crc.c,22,1421,14,522,14,651,34,167,0,0,0,0
extr_The-Art-Of-Programming-By-Julyebookcodec10.1.3：教你一步一步用c语言实现sift算法、下.c_normalizeVec.c,35,6391,25,2565,20,3072,81,717,,,,
extr_linuxdriversmiscaltera-staplaltera-jtag.c_altera_concatenate_data.c,149,24512,90,14305,90,14566,91,14306,,,,
extr_FFmpeglibavcodecdss_sp.c_dss_sp_update_buf.c,36,2616,21,376,20,1199,77,77,,,,
extr_raspberry-pi-osexerciseslesson045avenitosrcprintf.c_ui2a.c,62,107,54,74,52,83,52,72,,,,
extr_FFmpeglibavcodecac3enc.c_count_frame_bits_fixed.c,105,15883,55,6269,52,5790,53,5311,,,,
extr_linuxdriverscryptoqatqat_commonqat_uclo.c_qat_uclo_calc_checksum.c,37,140,22,85,21,93,58,58,57840,57840,57840,57840
extr_labthird_partymdmd4c.c_MD4_memcpy.c,21,3326,14,1284,12,1538,94,232,,,,
extr_linuxdriversstagingrts5208general.c_bit1cnt_long.c,24,450,13,199,13,232,128,128,8,8,8,8
extr_reactosbaseapplicationsnetworknslookuputility.c_ExtractName.c,95,10686,84,2466,93,2867,185,543,394,394,394,394
extr_linuxdriversandroidbinder_alloc_selftest.c_is_dup.c,23,3328,15,1285,15,1541,15,1285,0,0,0,0
extr_disquedepshiredishiredis.c_seekNewline.c,41,4603,28,1293,32,1805,32,1550,,,,
extr_FFmpeglibswscaleswscale.c_chrRangeFromJpeg_c.c,31,5876,20,2814,20,3070,136,1426,,,,
extr_linuxdriversvideofbdevmatroxmatroxfb_accel.c_matrox_cfb8_pal.c,16,168,11,86,11,103,12,12,,,,
extr_FFmpeglibavcodecbgmc.c_bgmc_lut_fillp.c,22,189,18,93,20,142,20,110,,,,
extr_obs-studiolibobsobs-source-transition.c_calc_min_ts.c,24,42,15,23,15,26,16,16,0,0,0,0
extr_nginxsrccorengx_string.c_ngx_escape_json.c,98,13315,45,5482,43,5736,45,5482,67315361,67315361,67315361,67315361
extr_linuxdriversstagingrtlwifihalmachalmac_88xxhalmac_func_88xx.c_halmac_check_efuse_enough_88xx.c,138,4236,50,1360,47,1649,47,920,,,,
extr_raspberry-pi-osexerciseslesson021H-4ND-Hsrcprintf.c_ui2a.c,62,107,54,74,52,83,52,72,,,,
extr_opensslsslpacket.c_put_value.c,32,4352,14,1030,14,1540,35,245,1,1,1,1
extr_reactosbaseapplicationsmstscbsops.c_bs_copy_memb.c,122,2864,44,710,38,696,91,733,,,,
extr_linuxdriversusbhostdwc_otgdwc_otg_cil.c_calc_num_out_eps.c,32,3899,19,1615,18,2072,48,1112,225,225,225,225
