filename,staticO0,dynamicO0,staticO1,dynamicO1,staticOz,dynamicOz,staticO2,dynamicO2,output_O0,output_O1,output_O2,output_Oz
extr_FFmpeglibavcodecsnow_dwt.c_vertical_decompose97iL0.c,39,7662,30,5364,26,4346,100,1878,,,,
extr_FFmpeglibavresampledither.c_dither_int_to_float_rectangular_c.c,23,3836,19,2051,16,2050,101,751,,,,
extr_stbtools..stb.h_stb_crc32_block.c,63,40964,40,20487,39,23049,94,4882,252192660,252192660,252192660,252192660
extr_numpynumpycoresrcmultiarraydatetime_busday.c_find_earliest_holiday_after.c,44,425,25,237,23,196,25,237,,,,
extr_kphp-kdbtexttext-data.c_reverse_list.c,36,3695,23,1157,19,1282,41,971,,,,
extr_openpilotphonelibsnanovgnanovg.c_nvg__polyReverse.c,34,3061,20,1154,16,1152,20,1154,,,,
extr_FFmpeglibavcodecintrax8dsp.c_spatial_compensation_4.c,42,1474,30,1024,29,1097,67,452,,,,
extr_nginxsrccorengx_string.c_ngx_strncasecmp.c,61,10141,33,6129,34,6132,33,6129,a,a,a,a
extr_linuxsecuritytomoyocommon.h_tomoyo_round2.c,19,29,12,20,12,20,12,20,256,256,256,256
extr_The-Art-Of-Programming-By-Julyebookcodec10.1.3：教你一步一步用c语言实现sift算法、下.c_AverageWeakBins.c,65,19415,43,10730,35,8693,62,9698,,,,
extr_linuxsoundisawavefrontwavefront_synth.c_munge_buf.c,39,3444,25,1285,18,1406,38,1030,,,,
extr_linuxdriversmediaplatformqcomcamsscamss-csid.c_csid_find_code.c,31,4098,23,1801,19,2053,21,1799,479,479,479,479
extr_linuxdriversscsich.c_ch_check_voltag.c,36,935,20,443,18,328,28,251,,,,
extr_radare2librhashmd5.c_Encode.c,60,3276,28,910,24,1097,28,910,,,,
extr_masscansrcrand-lcg.c_count_digits.c,18,42,18,38,14,28,18,38,3,3,3,3
extr_raspberry-pi-osexerciseslesson032H-4ND-Hsrcprintf.c_ui2a.c,62,107,54,74,52,83,52,72,,,,
extr_raspberry-pi-osexerciseslesson031xdfm1srcprintf.c_ui2a.c,62,107,54,74,52,83,52,72,,,,
extr_FFmpeglibavcodectakdsp.c_decorrelate_ls.c,28,5111,14,1284,13,1539,70,650,,,,
extr_linuxdrivershidhid-core.c___implement.c,72,1099,48,575,49,641,59,329,,,,
extr_redisdepshiredissds.c_sdsll2str.c,64,103,42,68,34,54,42,68,3,3,3,3
extr_linuxdriversmiscaltera-staplaltera-jtag.c_altera_extract_target_data.c,62,8944,36,5619,37,5876,36,5619,,,,
extr_darknetsrcstb_image_write.h_stbiw__zlib_countm.c,34,6138,19,1543,15,2303,19,1543,255,255,255,255
extr_linuxdriversinputjoysticksidewinder.c_sw_check.c,28,41,24,32,19,29,24,32,14,14,14,14
extr_torch7libTHTHHalf.c_TH_halfbits2float.c,55,69,30,35,27,31,30,35,,,,
extr_linuxdriversnetwirelessrealtekrtlwifirtl8821aephy.c__phy_convert_txpower_dbm_to_relative_value.c,36,104,27,63,27,68,29,29,,,,
extr_BGAQRCode-Androidzbarsrcmainjnizbarqrcodeutil.c_qr_isqrt.c,35,347,22,202,22,234,35,194,15,15,15,15
extr_reactosdllopenglmesaimage.c_gl_swap2.c,27,5110,18,2558,16,2812,83,577,,,,
