program,static_O0,static_O2,static_ratio,dynamic_O0,dynamic_O2,dynamic_ratio
500.perlbench,160675,101731,1.57941040587432,4158683141196,2618164153343,1.58839663887613
502.gcc,876870,528527,1.65908269586984,2918591168029,1066576815052,2.73640972393227
505.mcf,5588,3024,1.8478835978836,2585171144300,944733862758,2.7364014842794
520.omnetpp,142999,71481,2.00051762006687,5668568615450,750282745384,7.5552432070776
523.xalancbmk,279128,121333,2.3005118145929,8016776721203,1359217247971,5.89808342497876
525.x264,79622,49225,1.61751142712037,12519260241397,5006576623602,2.5005629959559
531.deepsjeng,20327,12151,1.67286643074644,4049046128318,1923209311612,2.10535904951716
541.leela,29671,18393,1.61316805306367,13282642088957,2614419007135,5.08053301812273
548.exchange2,25668,14023,1.83042145047422,10357865720230,4669660132644,2.21811982585664
557.xz,26358,14785,1.78275278998985,4718186417887,1976406501518,2.38725505823986
600.perlbench,160675,101731,1.57941040587432,4158683143362,2618164598290,1.58839636976153
602.gcc,898368,541419,1.6592842142592,7257921042025,2241503930892,3.23796935708997
605.mcf,5575,3024,1.84358465608466,4053902342268,1678941379115,2.41455859787367
620.omnetpp,142999,70563,2.0265436560237,5668568597125,750265662521,7.5554152086313
623.xalancbmk,279128,121333,2.3005118145929,8016776766659,1359217262363,5.89808339596999
625.x264,79622,49225,1.61751142712037,12519260241397,5006576623602,2.5005629959559
631.deepsjeng,20515,12273,1.67155544691599,4707502172064,2235025863665,2.10624058029674
641.leela,29671,18267,1.62429517709531,13282642088957,2614418403580,5.08053419099586
648.exchange2,25668,14023,1.83042145047422,10357865720230,4669660132644,2.21811982585664
657.xz,26955,15159,1.778151593113,22217692529472,8555207572402,2.59697878063689
503.bwaves,17648,6445,2.73824670287044,20922141845216,2602738766379,8.03851009385911
507.cactuBSSN,232934,146811,1.586624980417,3713555494233,1452016875315,2.5575153824761
508.namd,39731,27005,1.47124606554342,5986910309367,2597873318312,2.30454282245643
510.parest,353993,145494,2.43304191238127,16548124730798,3820753535835,4.33111546599185
511.povray,56282,37194,1.51320105393343,8840389253465,3647445454452,2.42372075576198
519.lbm,3085,1085,2.84331797235023,5724528253798,1659259598993,3.45004980370293
521.wrf,1258880,627411,2.00646784962329,19505863497947,3295158786646,5.91955191264127
526.blender,237813,146019,1.62864421753333,5600618027399,1840032210253,3.04376086254975
527.cam4,489622,255946,1.91298945871395,7231867453111,1910509130580,3.78530902436228
538.imagick,23899,16808,1.42188243693479,9443444989681,4586661459156,2.0588929603317
544.nab,15970,9300,1.71720430107527,3771355805411,1718057111947,2.19512831045359
549.fotonik3d,56505,32378,1.7451664710606,15863750216088,2420664324028,6.55346966476154
554.roms,225356,85001,2.65121586804861,15587729313445,2474783320317,6.29862387768491
603.bwaves,23107,10778,2.14390424939692,58419310905316,15353753752546,3.80488783699743
607.cactuBSSN,237529,146110,1.6256861268907,30934887337882,12000298374709,2.57784318122275
619.lbm,3435,1188,2.89141414141414,19902985936940,4939782612913,4.02912182510055
621.wrf,1280654,637972,2.00738276914974,113203551283678,18809960045892,6.01827707275758
627.cam4,598390,317927,1.88216162829832,34324439605093,14088084769088,2.43641631688698
628.pop2,491416,275198,1.78568158198824,94760405355803,22722283810367,4.17037328406966
638.imagick,43035,28481,1.51100733822548,195756676132484,73086148397952,2.67843743887822
644.nab,18200,10777,1.68878166465621,34025491805550,16439330762346,2.06976137273695
649.fotonik3d,61601,35358,1.74220826969851,48828688129460,7435236830018,6.56720011020036
654.roms,226199,85970,2.63113876933814,121164773760988,19213960373934,6.30608013147369
